timestamp,load_kw,day
2024-01-01 00:00:00,0.0,1
2024-01-01 00:15:00,4.468724262486141,1
2024-01-01 00:30:00,12.37849077173397,1
2024-01-01 00:45:00,4.468724262486141,1
2024-01-01 01:00:00,4.468724262486141,1
2024-01-01 01:15:00,7.184226721947113,1
2024-01-01 01:30:00,7.184226721947113,1
2024-01-01 01:45:00,7.184226721947113,1
2024-01-01 02:00:00,7.184226721947113,1
2024-01-01 02:15:00,0.0,1
2024-01-01 02:30:00,0.0,1
2024-01-01 02:45:00,0.0,1
2024-01-01 03:00:00,0.0,1
2024-01-01 03:15:00,0.0,1
2024-01-01 03:30:00,0.0,1
2024-01-01 03:45:00,12.204424188127621,1
2024-01-01 04:00:00,0.0,1
2024-01-01 04:15:00,0.0,1
2024-01-01 04:30:00,0.0,1
2024-01-01 04:45:00,0.0,1
2024-01-01 05:00:00,0.0,1
2024-01-01 05:15:00,0.0,1
2024-01-01 05:30:00,0.0,1
2024-01-01 05:45:00,0.0,1
2024-01-01 06:00:00,0.0,1
2024-01-01 06:15:00,0.0,1
2024-01-01 06:30:00,0.0,1
2024-01-01 06:45:00,0.0,1
2024-01-01 07:00:00,0.0,1
2024-01-01 07:15:00,0.0,1
2024-01-01 07:30:00,0.0,1
2024-01-01 07:45:00,0.0,1
2024-01-01 08:00:00,0.0,1
2024-01-01 08:15:00,0.0,1
2024-01-01 08:30:00,0.0,1
2024-01-01 08:45:00,0.0,1
2024-01-01 09:00:00,0.0,1
2024-01-01 09:15:00,0.0,1
2024-01-01 09:30:00,0.0,1
2024-01-01 09:45:00,0.0,1
2024-01-01 10:00:00,0.0,1
2024-01-01 10:15:00,0.0,1
2024-01-01 10:30:00,0.0,1
2024-01-01 10:45:00,0.0,1
2024-01-01 11:00:00,0.0,1
2024-01-01 11:15:00,0.0,1
2024-01-01 11:30:00,0.0,1
2024-01-01 11:45:00,0.0,1
2024-01-01 12:00:00,0.0,1
2024-01-01 12:15:00,6.239853762900927,1
2024-01-01 12:30:00,6.239853762900927,1
2024-01-01 12:45:00,6.239853762900927,1
2024-01-01 13:00:00,0.0,1
2024-01-01 13:15:00,0.0,1
2024-01-01 13:30:00,0.0,1
2024-01-01 13:45:00,0.0,1
2024-01-01 14:00:00,0.0,1
2024-01-01 14:15:00,5.211362249951883,1
2024-01-01 14:30:00,12.498049798139665,1
2024-01-01 14:45:00,15.985781180570847,1
2024-01-01 15:00:00,24.72354567502959,1
2024-01-01 15:15:00,32.35539219083635,1
2024-01-01 15:30:00,34.327510387171735,1
2024-01-01 15:45:00,53.19287136939008,1
2024-01-01 16:00:00,55.44503703967942,1
2024-01-01 16:15:00,52.17374652517738,1
2024-01-01 16:30:00,66.4472763473133,1
2024-01-01 16:45:00,65.62778889506782,1
2024-01-01 17:00:00,66.05372257961746,1
2024-01-01 17:15:00,60.34628180629712,1
2024-01-01 17:30:00,58.04049218153844,1
2024-01-01 17:45:00,60.41492133977874,1
2024-01-01 18:00:00,59.17081319303481,1
2024-01-01 18:15:00,54.12315512221432,1
2024-01-01 18:30:00,54.08046458949601,1
2024-01-01 18:45:00,47.21757267401882,1
2024-01-01 19:00:00,47.21757267401882,1
2024-01-01 19:15:00,47.21757267401882,1
2024-01-01 19:30:00,43.79104928119816,1
2024-01-01 19:45:00,43.79104928119816,1
2024-01-01 20:00:00,42.75443740548725,1
2024-01-01 20:15:00,37.82067916868077,1
2024-01-01 20:30:00,37.82067916868077,1
2024-01-01 20:45:00,34.73904600822127,1
2024-01-01 21:00:00,36.400140446094895,1
2024-01-01 21:15:00,33.96816540094147,1
2024-01-01 21:30:00,30.28840713614876,1
2024-01-01 21:45:00,27.34871150581635,1
2024-01-01 22:00:00,27.34871150581635,1
2024-01-01 22:15:00,20.90071100146655,1
2024-01-01 22:30:00,18.928592805131164,1
2024-01-01 22:45:00,14.155191802763024,1
2024-01-01 23:00:00,12.215120067313187,1
2024-01-01 23:15:00,12.215120067313187,1
2024-01-01 23:30:00,10.727055404241577,1
2024-01-01 23:45:00,10.727055404241577,1
